"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
11,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","1",20000000,"","２ＤＫ","45",,"","","","昭和63年","","","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
12,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",49000000,"","３ＬＤＫ","60",,"","","","平成24年","ＲＣ","","住宅","","",,"商業地域",80,500,"2020年第４四半期","未改装",""
13,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","1",29000000,"","２ＬＤＫ","45",,"","","","昭和63年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第３四半期","改装済",""
14,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",33000000,"","１ＬＤＫ","35",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第３四半期","未改装",""
15,"宅地(土地)","住宅地","14102","神奈川県","横浜市神奈川区","青木町","神奈川","3",270000000,"2900000","","300",890000,"ほぼ長方形","19.0","","","","","その他","東","市道",4.0,"第１種住居地域",60,200,"2020年第１四半期","",""
16,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","0",30000000,"","３ＬＤＫ","70",,"","","","昭和47年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第１四半期","改装済",""
17,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","0",27000000,"","２ＬＤＫ","50",,"","","","昭和47年","ＳＲＣ","","住宅","","",,"商業地域",80,500,"2020年第１四半期","",""
18,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",18000000,"","１Ｋ","30",,"","","","昭和64年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第４四半期","改装済",""
19,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","5",11000000,"","１Ｋ","30",,"","","","昭和64年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第４四半期","未改装",""
20,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",12000000,"","１Ｒ","25",,"","","","昭和64年","","","事務所","","",,"商業地域",80,500,"2019年第４四半期","未改装",""
21,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",25000000,"","１ＬＤＫ","35",,"","","","平成6年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第３四半期","改装済",""
22,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",14000000,"","１Ｋ","25",,"","","","平成6年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第３四半期","改装済",""
23,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",33000000,"","１ＬＤＫ","35",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2019年第２四半期","未改装",""
24,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","0",24000000,"","２ＬＤＫ","55",,"","","","昭和47年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2019年第２四半期","改装済",""
25,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",560000000,"","","155",,"ほぼ長方形","11.8","670","平成31年","ＲＣ","共同住宅","住宅","北","市道",8.1,"商業地域",80,400,"2019年第１四半期","",""
26,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","5",50000000,"","２ＬＤＫ","60",,"","","","平成30年","","","住宅","","",,"商業地域",80,500,"2019年第１四半期","未改装",""
27,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","1",24000000,"","３ＬＤＫ","70",,"","","","昭和47年","","","住宅","","",,"商業地域",80,500,"2019年第１四半期","未改装",""
28,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",33000000,"","１ＬＤＫ","40",,"","","","平成24年","ＲＣ","","住宅","","",,"商業地域",80,400,"2019年第１四半期","改装済",""
29,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","0",18000000,"","２ＬＤＫ","45",,"","","","昭和47年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第４四半期","未改装",""
30,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",18000000,"","１ＬＤＫ","35",,"","","","昭和63年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第４四半期","",""
31,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","3",6500000,"","１Ｋ","20",,"","","","昭和61年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2018年第４四半期","改装済",""
32,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","5",48000000,"","３ＬＤＫ","60",,"","","","平成30年","","","住宅","","",,"商業地域",80,500,"2018年第３四半期","未改装",""
33,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",23000000,"","１Ｋ","25",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第３四半期","",""
34,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",46000000,"","２ＬＤＫ","50",,"","","","平成30年","","","住宅","","",,"商業地域",80,500,"2018年第３四半期","未改装",""
35,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",34000000,"","１ＤＫ","35",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第２四半期","",""
36,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","5",9900000,"","１Ｋ","25",,"","","","昭和64年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第２四半期","",""
37,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",23000000,"","","25",,"","","","平成19年","ＲＣ","","住宅","","",,"商業地域",80,500,"2018年第２四半期","","調停・競売等"
38,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",23000000,"","","25",,"","","","平成19年","ＲＣ","","住宅","","",,"商業地域",80,500,"2018年第２四半期","","調停・競売等"
39,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",49000000,"","３ＬＤＫ","60",,"","","","平成24年","","","住宅","","",,"商業地域",80,400,"2018年第１四半期","未改装",""
40,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",20000000,"","","40",,"長方形","5.5","65","平成6年","木造","住宅","住宅","北","市道",4.0,"第１種住居地域",60,200,"2017年第４四半期","",""
41,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",25000000,"","１ＤＫ","35",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2017年第４四半期","未改装",""
42,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",24000000,"","１Ｋ","25",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2017年第４四半期","未改装",""
43,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","3",26000000,"","１Ｋ","25",,"","","","平成19年","","","住宅","","",,"商業地域",80,400,"2017年第４四半期","未改装",""
44,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",20000000,"","１Ｋ","25",,"","","","平成19年","","","住宅","","",,"商業地域",80,500,"2017年第３四半期","",""
45,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",27000000,"","１ＤＫ","25",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2017年第３四半期","",""
46,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","1",23000000,"","２ＬＤＫ","45",,"","","","昭和47年","","","住宅","","",,"商業地域",80,500,"2017年第３四半期","改装済",""
47,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","1",17000000,"","２ＤＫ","45",,"","","","昭和63年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2017年第３四半期","未改装",""
48,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",13000000,"","１Ｋ","25",,"","","","平成6年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2017年第３四半期","未改装",""
49,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",10000000,"","１Ｋ","25",,"","","","平成6年","ＳＲＣ","事務所","住宅","","",,"商業地域",80,500,"2017年第３四半期","未改装",""
50,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",22000000,"","２ＤＫ","45",,"","","","平成6年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2017年第２四半期","未改装",""
51,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","0",32000000,"","２ＬＤＫ","60",,"","","","昭和47年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2017年第２四半期","改装済",""
52,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",28000000,"","１ＬＤＫ","45",,"","","","平成6年","","","住宅","","",,"商業地域",80,500,"2017年第２四半期","改装済",""
53,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","4",32000000,"","１ＬＤＫ","40",,"","","","平成23年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2017年第１四半期","未改装",""
54,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","3",19000000,"","１Ｋ","25",,"","","","平成19年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2017年第１四半期","未改装",""
55,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","神奈川","2",25000000,"","１Ｋ","25",,"","","","平成19年","ＲＣ","住宅","その他","","",,"商業地域",80,500,"2017年第１四半期","未改装",""
56,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","東神奈川","8",51000000,"","２ＬＤＫ","50",,"","","","平成30年","","","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
57,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","横浜","10",24000000,"","４ＬＤＫ","75",,"","","","平成2年","ＲＣ","","その他","","",,"商業地域",80,400,"2020年第３四半期","未改装",""
58,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","横浜","14",64000000,"","３ＬＤＫ","60",,"","","","平成30年","","","住宅","","",,"商業地域",80,500,"2019年第２四半期","改装済",""
59,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","横浜","9",22000000,"","１Ｋ","25",,"","","","平成19年","","","住宅","","",,"商業地域",80,500,"2019年第１四半期","",""
60,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","横浜","14",90000000,"","３ＬＤＫ","85",,"","","","平成30年","","","住宅","","",,"商業地域",80,500,"2019年第１四半期","未改装",""
61,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","横浜","14",42000000,"","３ＬＤＫ","60",,"","","","平成30年","","","住宅","","",,"商業地域",80,500,"2019年第１四半期","未改装",""
62,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","横浜","14",44000000,"","３ＬＤＫ","60",,"","","","平成30年","","","住宅","","",,"商業地域",80,500,"2019年第１四半期","未改装",""
63,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","横浜","11",65000000,"","２ＬＤＫ","65",,"","","","平成30年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第４四半期","未改装",""
64,"中古マンション等","","14102","神奈川県","横浜市神奈川区","青木町","横浜","11",59000000,"","２ＬＤＫ","65",,"","","","平成30年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2018年第３四半期","未改装",""
65,"中古マンション等","","14102","神奈川県","横浜市神奈川区","旭ケ丘","反町","10",5300000,"","１Ｋ","15",,"","","","令和3年","","","住宅","","",,"",,,"2020年第４四半期","",""
66,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","旭ケ丘","反町","11",70000000,"","","105",,"ほぼ長方形","8.0","105","","","","住宅","北","市道",4.0,"第１種低層住居専用地域",60,100,"2020年第３四半期","",""
67,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","旭ケ丘","反町","10",59000000,"","","145",,"不整形","","110","平成31年","木造","住宅","住宅","東","私道",4.5,"第１種低層住居専用地域",60,100,"2019年第２四半期","",""
68,"宅地(土地)","住宅地","14102","神奈川県","横浜市神奈川区","旭ケ丘","反町","6",65000000,"650000","","330",200000,"不整形","30.0","","","","","住宅","北","市道",3.6,"第１種低層住居専用地域",60,100,"2018年第３四半期","",""
69,"中古マンション等","","14102","神奈川県","横浜市神奈川区","旭ケ丘","反町","8",9600000,"","１Ｋ","15",,"","","","平成3年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,200,"2018年第３四半期","",""
70,"宅地(土地)","住宅地","14102","神奈川県","横浜市神奈川区","旭ケ丘","反町","8",32000000,"710000","","150",220000,"ほぼ台形","12.0","","","","","","南西","市道",4.5,"第１種低層住居専用地域",60,100,"2018年第１四半期","",""
71,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","旭ケ丘","東白楽","13",51000000,"","","115",,"長方形","6.7","100","令和2年","木造","住宅","住宅","南西","市道",7.8,"第１種低層住居専用地域",60,100,"2020年第２四半期","",""
72,"中古マンション等","","14102","神奈川県","横浜市神奈川区","泉町","反町","4",46000000,"","２ＬＤＫ","50",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2021年第４四半期","改装済",""
73,"中古マンション等","","14102","神奈川県","横浜市神奈川区","泉町","反町","4",45000000,"","２ＬＤＫ","60",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2021年第３四半期","未改装",""
74,"中古マンション等","","14102","神奈川県","横浜市神奈川区","泉町","反町","5",59000000,"","３ＬＤＫ","70",,"","","","平成9年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2021年第１四半期","改装済",""
75,"中古マンション等","","14102","神奈川県","横浜市神奈川区","泉町","反町","4",33000000,"","２ＤＫ","50",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2020年第４四半期","未改装",""
76,"中古マンション等","","14102","神奈川県","横浜市神奈川区","泉町","反町","5",48000000,"","","290",,"","","","平成9年","","","その他","","",,"近隣商業地域",80,400,"2020年第３四半期","",""
77,"中古マンション等","","14102","神奈川県","横浜市神奈川区","泉町","反町","5",44000000,"","３ＬＤＫ","70",,"","","","平成9年","","","住宅","","",,"近隣商業地域",80,400,"2020年第２四半期","未改装",""
78,"中古マンション等","","14102","神奈川県","横浜市神奈川区","泉町","反町","6",48000000,"","３ＬＤＫ","70",,"","","","平成9年","ＳＲＣ","","住宅","","",,"近隣商業地域",80,400,"2020年第１四半期","改装済",""
79,"中古マンション等","","14102","神奈川県","横浜市神奈川区","泉町","反町","6",36000000,"","２ＬＤＫ","55",,"","","","平成9年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2019年第２四半期","未改装",""
80,"宅地(土地)","商業地","14102","神奈川県","横浜市神奈川区","泉町","反町","7",48000000,"2100000","","75",620000,"ほぼ整形","9.0","","","","","住宅","北東","市道",4.0,"近隣商業地域",80,400,"2018年第３四半期","",""
81,"中古マンション等","","14102","神奈川県","横浜市神奈川区","泉町","反町","4",34000000,"","２ＬＤＫ","60",,"","","","平成12年","","住宅","住宅","","",,"近隣商業地域",80,400,"2017年第４四半期","未改装",""
82,"中古マンション等","","14102","神奈川県","横浜市神奈川区","泉町","反町","4",23000000,"","","50",,"","","","","","","","","",,"近隣商業地域",80,400,"2017年第３四半期","",""
83,"中古マンション等","","14102","神奈川県","横浜市神奈川区","入江","大口","4",38000000,"","２ＬＤＫ","60",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2021年第４四半期","未改装",""
84,"宅地(土地と建物)","商業地","14102","神奈川県","横浜市神奈川区","入江","大口","4",37000000,"","","100",,"長方形","6.5","","","","","","北","市道",11.0,"準工業地域",60,200,"2021年第３四半期","",""
85,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","入江","大口","9",12000000,"","","70",,"ほぼ長方形","12.0","50","昭和44年","木造","住宅","住宅","北","市道",2.7,"第１種住居地域",60,200,"2021年第３四半期","",""
86,"宅地(土地)","住宅地","14102","神奈川県","横浜市神奈川区","入江","大口","5",46000000,"950000","","160",290000,"ほぼ長方形","7.5","","","","","住宅","東","市道",21.0,"準工業地域",60,200,"2021年第３四半期","",""
87,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","入江","大口","6",39000000,"","","45",,"長方形","5.5","95","平成2年","木造","住宅","住宅","東","市道",6.2,"準工業地域",60,200,"2020年第３四半期","",""
88,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","入江","大口","4",47000000,"","","60",,"長方形","4.5","90","令和2年","木造","住宅","住宅","南","市道",12.0,"準工業地域",60,200,"2020年第３四半期","",""
89,"中古マンション等","","14102","神奈川県","横浜市神奈川区","入江","大口","8",25000000,"","３ＬＤＫ","55",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"準工業地域",80,200,"2020年第２四半期","未改装",""
90,"宅地(土地)","商業地","14102","神奈川県","横浜市神奈川区","入江","大口","4",90000000,"1400000","","210",420000,"不整形","8.3","","","","","住宅","西","県道",15.0,"準工業地域",60,200,"2020年第１四半期","",""
91,"中古マンション等","","14102","神奈川県","横浜市神奈川区","入江","大口","5",41000000,"","３ＬＤＫ","65",,"","","","平成24年","","","住宅","","",,"準工業地域",60,200,"2020年第１四半期","未改装",""
92,"中古マンション等","","14102","神奈川県","横浜市神奈川区","入江","大口","4",33000000,"","３ＬＤＫ","60",,"","","","平成13年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2019年第４四半期","未改装",""
93,"宅地(土地)","商業地","14102","神奈川県","横浜市神奈川区","入江","大口","4",210000000,"2200000","","320",650000,"長方形","16.9","","","","","住宅","西","市道",18.0,"準工業地域",60,200,"2019年第１四半期","",""
94,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","入江","大口","6",25000000,"","","100",,"ほぼ台形","12.0","280","昭和46年","ＲＣ","住宅、事務所、倉庫","住宅","東","市道",20.0,"準工業地域",60,200,"2018年第４四半期","",""
95,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","入江","大口","6",45000000,"","","65",,"ほぼ台形","7.5","105","平成30年","木造","住宅","住宅","南西","市道",5.0,"第１種住居地域",60,200,"2018年第４四半期","",""
96,"宅地(土地と建物)","商業地","14102","神奈川県","横浜市神奈川区","入江","大口","8",98000000,"","","120",,"ほぼ台形","12.0","210","平成23年","木造","共同住宅","住宅","東","県道",16.0,"近隣商業地域",80,300,"2018年第３四半期","",""
97,"中古マンション等","","14102","神奈川県","横浜市神奈川区","入江","大口","5",17000000,"","３ＬＤＫ","60",,"","","","昭和61年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2018年第３四半期","未改装",""
98,"宅地(土地)","住宅地","14102","神奈川県","横浜市神奈川区","入江","大口","6",53000000,"1300000","","135",400000,"長方形","8.0","","","","","その他","東","市道",6.1,"準工業地域",60,200,"2018年第１四半期","",""
99,"宅地(土地)","住宅地","14102","神奈川県","横浜市神奈川区","入江","大口","5",29000000,"840000","","110",250000,"不整形","","","","","","その他","東","市道",4.0,"準工業地域",60,200,"2018年第１四半期","",""
100,"宅地(土地)","住宅地","14102","神奈川県","横浜市神奈川区","入江","大口","5",19000000,"1000000","","60",320000,"長方形","7.0","","","","","その他","東","市道",4.0,"準工業地域",60,200,"2018年第１四半期","",""
101,"中古マンション等","","14102","神奈川県","横浜市神奈川区","入江","大口","5",46000000,"","３ＬＤＫ","65",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2018年第１四半期","未改装",""
102,"中古マンション等","","14102","神奈川県","横浜市神奈川区","入江","大口","8",28000000,"","３ＬＤＫ","60",,"","","","平成17年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2017年第４四半期","未改装",""
103,"宅地(土地)","住宅地","14102","神奈川県","横浜市神奈川区","入江","大口","4",36000000,"1200000","","100",360000,"長方形","6.0","","","","","住宅","南","市道",4.0,"準工業地域",60,200,"2017年第３四半期","",""
104,"宅地(土地)","住宅地","14102","神奈川県","横浜市神奈川区","入江","大口","6",21000000,"600000","","110",180000,"不整形","","","","","","住宅","西","市道",4.2,"準工業地域",60,200,"2017年第３四半期","",""
105,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","入江","大口","6",26000000,"","","60",,"長方形","3.7","90","平成23年","木造","住宅","その他","北","市道",4.0,"準工業地域",60,200,"2017年第３四半期","",""
106,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","入江","大口","5",150000000,"","","220",,"台形","14.5","430","昭和59年","ＲＣ","共同住宅、店舗","住宅","北","市道",11.0,"準工業地域",60,200,"2017年第２四半期","",""
107,"中古マンション等","","14102","神奈川県","横浜市神奈川区","入江","大口","5",38000000,"","２ＬＤＫ","60",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2017年第２四半期","未改装",""
108,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","入江","京急新子安","6",84000000,"","","140",,"ほぼ長方形","10.0","145","令和3年","木造","共同住宅","住宅","西","市道",1.8,"第１種住居地域",60,200,"2021年第３四半期","",""
109,"宅地(土地)","住宅地","14102","神奈川県","横浜市神奈川区","入江","京急新子安","6",68000000,"600000","","370",180000,"不整形","16.0","","","","","住宅","南","市道",4.5,"第１種住居地域",60,200,"2021年第１四半期","",""
110,"中古マンション等","","14102","神奈川県","横浜市神奈川区","入江","京急新子安","8",39000000,"","３ＬＤＫ","70",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第３四半期","未改装",""
111,"宅地(土地)","住宅地","14102","神奈川県","横浜市神奈川区","入江","子安","4",77000000,"840000","","300",250000,"ほぼ長方形","12.0","","","","","住宅","北","市道",2.2,"第１種住居地域",60,200,"2020年第４四半期","",""
112,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","入江","子安","3",39000000,"","","65",,"長方形","5.0","95","平成21年","木造","住宅","住宅","北西","市道",2.6,"第１種住居地域",60,200,"2020年第３四半期","",""
113,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","入江","子安","3",29000000,"","","65",,"台形","5.1","95","平成21年","木造","住宅","住宅","北西","市道",,"第１種住居地域",60,200,"2020年第１四半期","",""
114,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","入江","子安","9",46000000,"","","70",,"不整形","2.7","80","令和2年","木造","住宅","住宅","東","市道",6.0,"第１種住居地域",60,200,"2020年第１四半期","",""
115,"宅地(土地と建物)","商業地","14102","神奈川県","横浜市神奈川区","入江","子安","7",13000000,"","","60",,"不整形","17.5","100","昭和59年","木造","住宅","住宅","西","市道",16.3,"近隣商業地域",80,200,"2019年第４四半期","",""
116,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","入江","子安","7",37000000,"","","70",,"不整形","3.2","85","平成14年","木造","住宅","住宅","西","市道",3.7,"近隣商業地域",80,200,"2019年第１四半期","",""
117,"宅地(土地と建物)","商業地","14102","神奈川県","横浜市神奈川区","入江","子安","7",1300000000,"","","720",,"ほぼ整形","14.0","2000㎡以上","平成31年","ＲＣ","共同住宅","住宅","北西","国道",24.0,"近隣商業地域",80,300,"2018年第３四半期","",""
118,"中古マンション等","","14102","神奈川県","横浜市神奈川区","入江","新子安","9",45000000,"","３ＬＤＫ","70",,"","","","昭和64年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2021年第２四半期","改装済",""
119,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","入江","新子安","7",51000000,"","","115",,"不整形","4.5","100","令和3年","木造","住宅","住宅","北","私道",3.0,"第１種住居地域",60,200,"2021年第１四半期","","私道を含む取引"
120,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","入江","新子安","7",50000000,"","","65",,"長方形","5.5","90","令和3年","木造","住宅","住宅","西","市道",1.8,"第１種住居地域",60,200,"2021年第１四半期","",""
121,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","入江","新子安","11",32000000,"","","55",,"不整形","4.0","70","平成12年","木造","住宅","住宅","西","市道",3.5,"第１種住居地域",60,200,"2020年第４四半期","","私道を含む取引"
