Saudi Arabia	20 131	14 683	34 814	73.1	76.1	74.3
Senegal	8 171	8 573	16 744	66.8	70.1	68.6
Serbia	4 280	4 458	8 737	73.5	78.3	75.9
Seychelles	 50	 48	 98	70.0	77.1	73.3
Sierra Leone	3 981	3 996	7 977	59.6	61.9	60.8
Singapore	3 062	2 788	5 850	81.0	85.5	83.2
Slovakia	2 658	2 801	5 460	74.8	81.4	78.2
Slovenia	1 035	1 044	2 079	78.6	84.1	81.3
Solomon Islands	 349	 338	 687	62.9	67.9	65.2
Somalia	7 924	7 969	15 893	54.0	59.2	56.5
South Africa	29 216	30 093	59 309	62.2	68.3	65.3
South Sudan	5 603	5 591	11 194	60.8	64.8	62.8
Spain	22 978	23 776	46 755	80.7	85.7	83.2
Sri Lanka	10 267	11 146	21 413	73.8	79.8	76.9
Sudan	21 907	21 942	43 849	67.6	70.8	69.1
Suriname	 295	 292	 587	68.5	74.6	71.5
Sweden	5 059	5 040	10 099	80.8	84.0	82.4
Switzerland	4 294	4 361	8 655	81.8	85.1	83.4
Syrian Arab Republic	8 760	8 741	17 501	71.2	74.3	72.7
Tajikistan	4 806	4 732	9 538	67.6	71.5	69.5
Thailand	33 966	35 834	69 800	74.4	81.0	77.7
Timor-Leste	 666	 652	1 318	67.9	71.4	69.6
Togo	4 119	4 159	8 279	61.5	67.2	64.3
Tonga	 53	 53	 106	69.8	75.6	72.6
Trinidad and Tobago	 691	 709	1 399	72.5	79.9	76.1
Tunisia	5 861	5 958	11 819	74.9	79.2	77.0
Turkey	41 636	42 703	84 339	76.4	80.7	78.6
Turkmenistan	2 969	3 062	6 031	66.5	73.0	69.7
Tuvalu	-	-	 12	-	-	-
Uganda	22 547	23 194	45 741	63.2	70.1	66.7
Ukraine	20 263	23 471	43 734	68.0	77.8	73.0
United Arab Emirates	6 836	3 054	9 890	75.1	78.4	76.1
United Kingdom	33 542	34 344	67 886	79.8	83.0	81.4
United Republic of Tanzania	29 851	29 883	59 734	65.4	69.3	67.3
United States of America	163 786	167 217	331 003	76.3	80.7	78.5
Uruguay	1 678	1 795	3 474	73.5	80.6	77.1
Uzbekistan	16 697	16 772	33 469	70.8	75.2	73.0
Vanuatu	 156	 151	 307	62.7	68.3	65.3
Venezuela (Bolivarian Republic of)	13 985	14 451	28 436	69.9	78.2	73.9
Viet Nam	48 598	48 740	97 339	69.6	78.1	73.7
Yemen	15 025	14 801	29 826	64.4	68.9	66.6
Zambia	9 103	9 281	18 384	59.5	65.4	62.5
Zimbabwe	7 092	7 771	14 863	57.5	63.6	60.7
						
WHO region	2020			2019		
African Region	  559 296	  560 865	 1 120 161	62.4	66.6	64.5
Region of the Americas	  501 975	  516 146	 1 018 121	74.5	79.8	77.2
South-East Asia Region	 1 035 908	  985 479	 2 021 387	69.9	73.1	71.4
European Region	  452 591	  480 297	  932 888	75.1	81.3	78.2
Eastern Mediterranean Region	  374 719	  351 002	  725 721	68.3	71.3	69.7
Western Pacific Region	  987 323	  952 556	 1 939 879	74.8	80.8	77.7
						
Global	 3 911 812	 3 846 346	 7 758 157	70.8	75.9	73.3
